snapped_at,price,market_cap,total_volume
2023-05-16 00:00:00 UTC,0.3172913353210198,0.0,11759588.879322775
2023-05-17 00:00:00 UTC,0.3172913353210198,0.0,11759588.879322775
2023-05-18 00:00:00 UTC,0.217070391151048,0.0,3178999.897680542
2023-05-19 00:00:00 UTC,0.18578440794521128,0.0,1524311.6340760957
2023-05-20 00:00:00 UTC,0.15662726306642188,0.0,1897156.9598105878
2023-05-21 00:00:00 UTC,0.22135814589834876,0.0,4708998.323824763
2023-05-22 00:00:00 UTC,0.1912860008593884,0.0,2184328.088295747
2023-05-23 00:00:00 UTC,0.18036092007787324,0.0,1453491.1848168094
2023-05-24 00:00:00 UTC,0.16900598408529485,0.0,1261312.2147279456
2023-05-25 00:00:00 UTC,0.15798187571094013,0.0,986873.4810016052
2023-05-26 00:00:00 UTC,0.1618274067401931,0.0,1016615.016405022
2023-05-27 00:00:00 UTC,0.1601377989906738,0.0,1075000.2395747015
2023-05-28 00:00:00 UTC,0.16272778700359816,0.0,1149879.250396613
2023-05-29 00:00:00 UTC,0.16409022729494097,0.0,782991.1425069736
2023-05-30 00:00:00 UTC,0.16203525537183253,0.0,560320.4090282464
2023-05-31 00:00:00 UTC,0.15663400173534975,0.0,437647.5620321983
2023-06-01 00:00:00 UTC,0.1526963040217382,0.0,418115.6562248092
2023-06-02 00:00:00 UTC,0.14369338500809464,0.0,440492.12308685307
2023-06-03 00:00:00 UTC,0.14099806535288595,0.0,330702.22525136627
2023-06-04 00:00:00 UTC,0.13937671144148892,0.0,716297.3348457905
2023-06-05 00:00:00 UTC,0.14040965343499276,0.0,597736.454521855
2023-06-06 00:00:00 UTC,0.12365599893974605,0.0,433615.2608653971
2023-06-07 00:00:00 UTC,0.12207056036067222,0.0,988175.5828968143
2023-06-08 00:00:00 UTC,0.122626644248136,0.0,824859.1487125988
2023-06-09 00:00:00 UTC,0.11810753248746762,0.0,791141.9753526697
2023-06-10 00:00:00 UTC,0.1233747781630903,0.0,1333596.5440520076
2023-06-11 00:00:00 UTC,0.09250367176166999,0.0,1558657.7279828752
2023-06-12 00:00:00 UTC,0.09334388769393906,0.0,1148268.4760582387
2023-06-13 00:00:00 UTC,0.09100256171206667,0.0,783653.8034033814
2023-06-14 00:00:00 UTC,0.0906783563371068,0.0,899112.7005598848
2023-06-15 00:00:00 UTC,0.0827804081528201,0.0,1002271.9306145199
2023-06-16 00:00:00 UTC,0.07687041766074061,0.0,579296.8156497121
2023-06-17 00:00:00 UTC,0.08001867815126469,0.0,743698.0643720014
2023-06-18 00:00:00 UTC,0.07951945433602767,0.0,504095.2538663411
2023-06-19 00:00:00 UTC,0.0801237944014373,0.0,688262.6887463374
2023-06-20 00:00:00 UTC,0.07962084506621198,0.0,442497.53533703374
2023-06-21 00:00:00 UTC,0.07886112287726844,0.0,514839.5454923784
2023-06-22 00:00:00 UTC,0.07788737009272231,0.0,298739.5555400419
2023-06-23 00:00:00 UTC,0.07790159939638247,0.0,316353.7521112383
2023-06-24 00:00:00 UTC,0.07753594190673464,0.0,285561.20326482266
